2023-08-07 19:13:49,056 sMRI, param size = 0.089 MB
2023-08-07 19:16:09,583 ******* Epoch 68, Val Loss MSE 41.17, Val MAE 6.23 *******
2023-08-07 19:16:11,664 ******* Epoch 69, Train Loss MSE 35.78, Train MAE 6.16 *******
2023-08-07 19:16:11,664 ******* Epoch 69, Val Loss MSE 37.48, Val MAE 6.02 *******
2023-08-07 19:16:13,547 ******* Epoch 70, Train Loss MSE 33.68, Train MAE 6.05 *******
2023-08-07 19:16:13,548 ******* Epoch 70, Val Loss MSE 39.54, Val MAE 6.29 *******
2023-08-07 19:16:16,277 ******* Epoch 71, Train Loss MSE 33.60, Train MAE 6.05 *******
2023-08-07 19:16:16,277 ******* Epoch 71, Val Loss MSE 40.67, Val MAE 6.59 *******
2023-08-07 19:16:18,445 ******* Epoch 72, Train Loss MSE 36.42, Train MAE 6.31 *******
2023-08-07 19:16:18,446 ******* Epoch 72, Val Loss MSE 41.05, Val MAE 6.46 *******
2023-08-07 19:16:20,414 ******* Epoch 73, Train Loss MSE 34.64, Train MAE 6.17 *******
2023-08-07 19:16:20,414 ******* Epoch 73, Val Loss MSE 39.82, Val MAE 6.13 *******
2023-08-07 19:16:22,297 ******* Epoch 74, Train Loss MSE 33.41, Train MAE 6.01 *******
2023-08-07 19:16:22,297 ******* Epoch 74, Val Loss MSE 39.50, Val MAE 6.29 *******
2023-08-07 19:16:24,389 ******* Epoch 75, Train Loss MSE 34.86, Train MAE 6.16 *******
2023-08-07 19:16:24,390 ******* Epoch 75, Val Loss MSE 40.19, Val MAE 6.41 *******
2023-08-07 19:16:26,871 ******* Epoch 76, Train Loss MSE 33.58, Train MAE 6.02 *******
2023-08-07 19:16:26,871 ******* Epoch 76, Val Loss MSE 33.24, Val MAE 5.84 *******
2023-08-07 19:16:28,845 ******* Epoch 77, Train Loss MSE 34.77, Train MAE 6.10 *******
2023-08-07 19:16:28,846 ******* Epoch 77, Val Loss MSE 35.49, Val MAE 5.93 *******
2023-08-07 19:16:30,774 ******* Epoch 78, Train Loss MSE 32.37, Train MAE 5.91 *******
2023-08-07 19:16:30,774 ******* Epoch 78, Val Loss MSE 39.01, Val MAE 6.21 *******
2023-08-07 19:16:32,811 ******* Epoch 79, Train Loss MSE 32.29, Train MAE 5.93 *******
2023-08-07 19:16:32,811 ******* Epoch 79, Val Loss MSE 38.08, Val MAE 6.42 *******
2023-08-07 19:16:34,793 ******* Epoch 80, Train Loss MSE 36.13, Train MAE 6.29 *******
2023-08-07 19:16:34,794 ******* Epoch 80, Val Loss MSE 43.24, Val MAE 6.88 *******
2023-08-07 19:16:36,845 ******* Epoch 81, Train Loss MSE 32.43, Train MAE 5.92 *******
2023-08-07 19:16:36,845 ******* Epoch 81, Val Loss MSE 34.42, Val MAE 5.85 *******
2023-08-07 19:16:39,196 ******* Epoch 82, Train Loss MSE 34.91, Train MAE 6.16 *******
2023-08-07 19:16:39,196 ******* Epoch 82, Val Loss MSE 42.33, Val MAE 6.65 *******
2023-08-07 19:16:41,184 ******* Epoch 83, Train Loss MSE 34.26, Train MAE 6.10 *******
2023-08-07 19:16:41,185 ******* Epoch 83, Val Loss MSE 36.65, Val MAE 6.01 *******
2023-08-07 19:16:43,251 ******* Epoch 84, Train Loss MSE 35.58, Train MAE 6.12 *******
2023-08-07 19:16:43,252 ******* Epoch 84, Val Loss MSE 39.08, Val MAE 6.39 *******
2023-08-07 19:16:45,169 ******* Epoch 85, Train Loss MSE 32.24, Train MAE 5.93 *******
2023-08-07 19:16:45,169 ******* Epoch 85, Val Loss MSE 40.18, Val MAE 6.27 *******
2023-08-07 19:16:47,226 ******* Epoch 86, Train Loss MSE 34.27, Train MAE 6.05 *******
2023-08-07 19:16:47,227 ******* Epoch 86, Val Loss MSE 35.88, Val MAE 5.94 *******
2023-08-07 19:16:49,554 ******* Epoch 87, Train Loss MSE 34.88, Train MAE 6.14 *******
2023-08-07 19:16:49,555 ******* Epoch 87, Val Loss MSE 70.69, Val MAE 9.14 *******
2023-08-07 19:16:51,542 ******* Epoch 88, Train Loss MSE 33.51, Train MAE 6.04 *******
2023-08-07 19:16:51,542 ******* Epoch 88, Val Loss MSE 36.71, Val MAE 6.14 *******
2023-08-07 19:16:53,465 ******* Epoch 89, Train Loss MSE 31.26, Train MAE 5.77 *******
2023-08-07 19:16:53,466 ******* Epoch 89, Val Loss MSE 34.44, Val MAE 5.90 *******
2023-08-07 19:16:55,453 ******* Epoch 90, Train Loss MSE 34.69, Train MAE 6.13 *******
2023-08-07 19:16:55,454 ******* Epoch 90, Val Loss MSE 36.05, Val MAE 6.14 *******
2023-08-07 19:16:57,374 ******* Epoch 91, Train Loss MSE 32.07, Train MAE 5.90 *******
2023-08-07 19:16:57,375 ******* Epoch 91, Val Loss MSE 76.89, Val MAE 9.03 *******
2023-08-07 19:16:59,477 ******* Epoch 92, Train Loss MSE 33.60, Train MAE 6.01 *******
2023-08-07 19:16:59,477 ******* Epoch 92, Val Loss MSE 35.58, Val MAE 5.92 *******
2023-08-07 19:17:01,466 ******* Epoch 93, Train Loss MSE 35.20, Train MAE 6.11 *******
2023-08-07 19:17:01,467 ******* Epoch 93, Val Loss MSE 52.45, Val MAE 7.27 *******
2023-08-07 19:17:03,467 ******* Epoch 94, Train Loss MSE 35.03, Train MAE 6.13 *******
2023-08-07 19:17:03,467 ******* Epoch 94, Val Loss MSE 34.84, Val MAE 5.83 *******
2023-08-07 19:17:05,475 ******* Epoch 95, Train Loss MSE 31.74, Train MAE 5.83 *******
2023-08-07 19:17:05,475 ******* Epoch 95, Val Loss MSE 33.19, Val MAE 5.76 *******
2023-08-07 19:17:07,595 ******* Epoch 96, Train Loss MSE 32.07, Train MAE 5.87 *******
2023-08-07 19:17:07,596 ******* Epoch 96, Val Loss MSE 58.58, Val MAE 7.84 *******
2023-08-07 19:17:09,539 ******* Epoch 97, Train Loss MSE 33.19, Train MAE 5.96 *******
2023-08-07 19:17:09,540 ******* Epoch 97, Val Loss MSE 36.48, Val MAE 6.01 *******
2023-08-07 19:17:11,673 ******* Epoch 98, Train Loss MSE 31.45, Train MAE 5.79 *******
2023-08-07 19:17:11,673 ******* Epoch 98, Val Loss MSE 57.61, Val MAE 7.85 *******
2023-08-07 19:17:13,570 ******* Epoch 99, Train Loss MSE 32.00, Train MAE 5.85 *******
2023-08-07 19:17:13,571 ******* Epoch 99, Val Loss MSE 33.72, Val MAE 5.89 *******
2023-08-07 19:17:15,602 ******* Epoch 100, Train Loss MSE 31.75, Train MAE 5.85 *******
2023-08-07 19:17:15,602 ******* Epoch 100, Val Loss MSE 35.09, Val MAE 5.92 *******
2023-08-07 19:17:17,486 ******* Epoch 101, Train Loss MSE 33.24, Train MAE 6.00 *******
2023-08-07 19:17:17,487 ******* Epoch 101, Val Loss MSE 48.75, Val MAE 7.29 *******
2023-08-07 19:17:19,452 ******* Epoch 102, Train Loss MSE 30.32, Train MAE 5.73 *******
2023-08-07 19:17:19,452 ******* Epoch 102, Val Loss MSE 41.53, Val MAE 6.69 *******
2023-08-07 19:17:21,548 ******* Epoch 103, Train Loss MSE 31.15, Train MAE 5.84 *******
2023-08-07 19:17:21,549 ******* Epoch 103, Val Loss MSE 33.59, Val MAE 5.81 *******
2023-08-07 19:17:23,500 ******* Epoch 104, Train Loss MSE 31.31, Train MAE 5.75 *******
2023-08-07 19:17:23,500 ******* Epoch 104, Val Loss MSE 39.56, Val MAE 6.15 *******
2023-08-07 19:17:25,464 ******* Epoch 105, Train Loss MSE 32.42, Train MAE 5.88 *******
2023-08-07 19:17:25,465 ******* Epoch 105, Val Loss MSE 33.83, Val MAE 5.82 *******
2023-08-07 19:17:27,421 ******* Epoch 106, Train Loss MSE 32.51, Train MAE 5.89 *******
2023-08-07 19:17:27,421 ******* Epoch 106, Val Loss MSE 38.42, Val MAE 6.07 *******
2023-08-07 19:17:29,397 ******* Epoch 107, Train Loss MSE 30.98, Train MAE 5.77 *******
2023-08-07 19:17:29,397 ******* Epoch 107, Val Loss MSE 37.46, Val MAE 6.07 *******
2023-08-07 19:17:31,457 ******* Epoch 108, Train Loss MSE 36.45, Train MAE 6.18 *******
2023-08-07 19:17:31,457 ******* Epoch 108, Val Loss MSE 36.24, Val MAE 6.28 *******
2023-08-07 19:17:33,654 ******* Epoch 109, Train Loss MSE 31.78, Train MAE 5.83 *******
2023-08-07 19:17:33,654 ******* Epoch 109, Val Loss MSE 33.29, Val MAE 5.73 *******
2023-08-07 19:17:35,629 ******* Epoch 110, Train Loss MSE 30.48, Train MAE 5.72 *******
2023-08-07 19:17:35,629 ******* Epoch 110, Val Loss MSE 33.80, Val MAE 5.88 *******
2023-08-07 19:17:37,633 ******* Epoch 111, Train Loss MSE 33.58, Train MAE 5.98 *******
2023-08-07 19:17:37,633 ******* Epoch 111, Val Loss MSE 35.92, Val MAE 6.06 *******
2023-08-07 19:17:39,789 ******* Epoch 112, Train Loss MSE 38.14, Train MAE 6.39 *******
2023-08-07 19:17:39,789 ******* Epoch 112, Val Loss MSE 34.59, Val MAE 5.83 *******
2023-08-07 19:17:41,766 ******* Epoch 113, Train Loss MSE 30.48, Train MAE 5.77 *******
2023-08-07 19:17:41,766 ******* Epoch 113, Val Loss MSE 35.10, Val MAE 5.90 *******
2023-08-07 19:17:43,747 ******* Epoch 114, Train Loss MSE 33.22, Train MAE 5.95 *******
2023-08-07 19:17:43,747 ******* Epoch 114, Val Loss MSE 35.42, Val MAE 6.15 *******
2023-08-07 19:17:45,711 ******* Epoch 115, Train Loss MSE 30.63, Train MAE 5.74 *******
2023-08-07 19:17:45,711 ******* Epoch 115, Val Loss MSE 40.41, Val MAE 6.35 *******
2023-08-07 19:17:47,520 ******* Epoch 116, Train Loss MSE 30.94, Train MAE 5.75 *******
2023-08-07 19:17:47,521 ******* Epoch 116, Val Loss MSE 34.67, Val MAE 5.92 *******
2023-08-07 19:17:49,516 ******* Epoch 117, Train Loss MSE 29.30, Train MAE 5.66 *******
2023-08-07 19:17:49,517 ******* Epoch 117, Val Loss MSE 41.63, Val MAE 6.52 *******
2023-08-07 19:17:51,513 ******* Epoch 118, Train Loss MSE 29.93, Train MAE 5.73 *******
